experiment_id,Ax,Ay,Az
339,-1.1240764,0.28275958,-0.55657035
340,-1.1246029,0.28288454,-0.27835646
341,-1.124103,0.2827862,0.00065440335
342,-1.1240517,0.28268582,0.27831513
343,-1.1241767,0.28300953,0.55677694
344,-1.124103,0.28293577,0.83521205
345,-1.1241275,0.28256083,1.1139525
346,-1.1237013,0.2832103,1.3923385
347,-1.1241522,0.282735,1.6713269
348,-1.1243529,0.563096,-1.673421
349,-1.1246029,0.56294644,-1.393607
350,-1.1242771,0.56289726,-1.1146433
351,-1.1241767,0.5628727,-0.835782
352,-1.1242526,0.5624711,-0.5565437
353,-1.1244267,0.56282145,-0.27793238
354,-1.1239268,0.5628706,0.00022825428
355,-1.1240271,0.56289726,0.2782639
356,-1.124103,0.5625469,0.55635077
357,-1.1236277,0.5626965,0.83501333
358,-1.1242013,0.56314725,1.113426
359,-1.1242771,0.5632476,1.3923631
360,-1.1247278,0.56314725,1.6714764
361,-1.1247033,0.84305954,-1.6731199
362,-1.1246029,0.84313333,-1.3937812
363,-1.1243284,0.8429346,-1.1143196
364,-1.1243775,0.843035,-0.83553207
365,-1.1243775,0.8426846,-0.5565437
366,-1.1243775,0.8426846,-0.27825812
367,-1.124402,0.8426846,0.000103277875
368,-1.1244267,0.84295917,0.27803853
369,-1.1241767,0.8429346,0.55647576
370,-1.1243284,0.8426846,0.8349867
371,-1.1243284,0.84295917,1.114102
372,-1.1245271,0.84288335,1.3925885
373,-1.1243529,0.8433587,1.6709518
374,-1.1245782,1.1235702,-1.394107
375,-1.1248775,1.1231215,-1.114795
376,-1.1246275,1.1230457,-0.836032
377,-1.1245517,1.1233468,-0.5570949
378,-1.1243775,1.1231952,-0.2784077
379,-1.1246029,1.1234206,0.00025283982
380,-1.1243529,1.1234719,0.27821472
381,-1.124652,1.1234964,0.55665195
382,-1.1247278,1.1230211,0.83491296
383,-1.1244533,1.1230457,1.1141778
384,-1.1244533,1.1233202,1.3924122
385,-1.124902,1.4035604,-1.1153706
386,-1.1248016,1.4034374,-0.835907
387,-1.1245271,1.4037611,-0.55744517
388,-1.1248016,1.4032859,-0.27883178
389,-1.1243017,1.4032366,0.00020366877
390,-1.1249778,1.4034108,0.2778644
391,-1.1243529,1.4034866,0.5560516
392,-1.1247033,1.4038861,0.8348126
393,-1.1245517,1.4039353,1.1135263
394,-1.1246766,1.6844499,-0.83655643
395,-1.124652,1.6845995,-0.55769515
396,-1.1251765,1.6840239,-0.27863306
397,-1.1247524,1.684323,-0.00014667495
398,-1.1248016,1.6840484,0.27819014
399,-1.124777,1.6844233,0.5561008
400,-1.1252277,1.6844746,0.83471215
401,-0.84348786,-1.9706451,-0.5574206
402,-0.8433629,-1.970895,-0.27850807
403,-0.8433629,-1.9702947,2.7472506e-05
404,-0.84298795,-1.9706451,0.2783889
405,-0.8432133,-1.9706451,0.5560762
406,-0.84316415,-1.6892085,-1.1164197
407,-0.84328914,-1.6893334,-0.8366056
408,-0.84323794,-1.6891347,-0.5572444
409,-0.8432133,-1.6889831,-0.27810857
410,-0.8427872,-1.6891593,7.869235e-05
411,-0.8429388,-1.6888335,0.27866545
412,-0.8433875,-1.6890589,0.5564266
413,-0.842863,-1.6893089,0.8349621
414,-0.84278923,-1.6889585,1.1136267
415,-0.8435391,-1.4076202,-1.3946826
416,-0.8434141,-1.4075956,-1.1148686
417,-0.84318876,-1.4074194,-0.8362307
418,-0.8429634,-1.4072698,-0.5569207
419,-0.8432625,-1.407444,-0.27843228
420,-0.8430638,-1.4070691,0.00020366877
421,-0.8429388,-1.4072207,0.27808976
422,-0.8429388,-1.4071695,0.5566765
423,-0.8429142,-1.4070691,0.8350871
424,-0.8429122,-1.4070445,1.1138767
425,-0.8427134,-1.4072207,1.392863
426,-0.8432133,-1.1257062,-1.673421
427,-0.8433629,-1.1254317,-1.393857
428,-0.84263766,-1.1255813,-1.1146699
429,-0.8425885,-1.1250547,-0.83583117
430,-0.8428876,-1.1249809,-0.55639416
431,-0.8430638,-1.1253313,-0.27823353
432,-0.84273803,-1.1253067,0.00037781624
433,-0.84251267,-1.1251059,0.27851385
434,-0.8425885,-1.1251305,0.5570515
435,-0.84278923,-1.1250055,0.83521205
436,-0.84256387,-1.1250813,1.1139013
437,-0.8427626,-1.1251551,1.3929142
438,-0.842863,-1.1251551,1.6718022
439,-0.8428876,-0.8432431,-1.6725196
440,-0.8430884,-0.84336805,-1.3932567
441,-0.8430126,-0.84336805,-1.114295
442,-0.84256387,-0.84361804,-0.83525544
443,-0.8430392,-0.8434664,-0.5568695
444,-0.8423631,-0.8432677,-0.2778832
445,-0.84268886,-0.8432677,0.00065440335
446,-0.84261304,-0.84289277,0.27881503
447,-0.8424389,-0.84289277,0.5569019
448,-0.8429122,-0.8434685,0.8351383
449,-0.84263766,-0.8432165,1.1143029
450,-0.8424635,-0.84311813,1.3926889
451,-0.8423877,-0.84331685,1.6713514
452,-0.8427134,-0.5614049,-1.9517046
453,-0.84261304,-0.561829,-1.6727204
454,-0.84256387,-0.56125534,-1.3929064
455,-0.84256387,-0.5611795,-1.1138935
456,-0.84231395,-0.5614049,-0.8355566
457,-0.8425885,-0.5616036,-0.5561196
458,-0.84231395,-0.5614787,-0.27768242
459,-0.84261304,-0.56157905,0.0007793798
460,-0.8423631,-0.5611037,0.2783889
461,-0.84261304,-0.56145406,0.5570515
462,-0.8425885,-0.56113034,0.83521205
463,-0.8425372,-0.5607288,1.1141778
464,-0.8423385,-0.56107914,1.3930638
465,-0.8423385,-0.56103,1.671376
466,-0.8423877,-0.5614049,1.9504135
467,-0.8427134,-0.27914053,-1.951555
468,-0.8427626,-0.27966502,-1.6724192
469,-0.84251267,-0.27969167,-1.3927814
470,-0.8423631,-0.28001538,-1.1138688
471,-0.8425372,-0.2794663,-0.83538043
472,-0.8425372,-0.27911595,-0.5562446
473,-0.84211314,-0.27904016,-0.27753285
474,-0.84201276,-0.2791897,0.0009289417
475,-0.8424389,-0.27906474,0.27869004
476,-0.8423385,-0.27899098,0.55712724
477,-0.8424389,-0.27956465,0.8354374
478,-0.84211314,-0.27909136,1.1143274
479,-0.84218895,-0.27914053,1.3931642
480,-0.8424143,-0.2791897,1.6719025
481,-0.84251267,-0.27924094,1.9506143
482,-0.8420886,0.0025726864,-1.9510552
483,-0.8423877,0.0028492736,-1.6719193
484,-0.84231395,0.0026976627,-1.3928326
485,-0.84281385,0.0026484916,-1.1139181
486,-0.84251267,0.0032733737,-0.8346798
487,-0.84231395,0.0029230302,-0.5562938
488,-0.84263766,0.0030746409,-0.2777828
489,-0.84231395,0.00297425,0.00087977067
490,-0.84206396,0.0030480064,0.27896458
491,-0.84241223,0.0029496644,0.5573014
492,-0.84211314,0.003123812,0.8358124
493,-0.8424635,0.0034249846,1.1147269
494,-0.84218895,0.003123812,1.3929634
495,-0.84218895,0.0033245937,1.6720029
496,-0.84231395,0.0030992264,1.950813
497,-0.8425393,0.28343567,-1.9512805
498,-0.8427626,0.28266123,-1.6718189
499,-0.84268886,0.28346026,-1.3927814
500,-0.84261304,0.28288454,-1.1138443
501,-0.8422893,0.28298494,-0.83495635
502,-0.8425393,0.28316113,-0.55659497
503,-0.8422627,0.2827104,-0.2772829
504,-0.84206396,0.2831345,0.0009289417
505,-0.84261304,0.28303614,0.27901375
506,-0.8423631,0.28293577,0.55702686
507,-0.8423877,0.2832349,0.83538824
508,-0.8422381,0.2832103,1.1148027
509,-0.8423385,0.28300953,1.3925393
510,-0.8422135,0.28303614,1.6722775
511,-0.8423877,0.28291118,1.9508642
512,-0.8430126,0.5632722,-1.9512805
513,-0.84313756,0.563096,-1.6723188
514,-0.8430884,0.56299764,-1.3927568
515,-0.84256387,0.5629219,-1.1145183
516,-0.84251267,0.56314725,-0.83525544
517,-0.8424143,0.56314725,-0.5562938
